,Q,A,E,U
17,데이터 프레임에서 개별 행을 선택하는 방법은 무엇인가요?,df.loc[인덱스]를 사용하여 데이터 프레임에서 개별 행을 선택할 수 있습니다.,df.loc[0],"https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.loc.html
"
18,중앙값을 구하는 방법은요?,NumPy의 median() 함수를 사용하면 됩니다.,np.median(배열),"https://numpy.org/doc/stable/reference/generated/numpy.median.html
"
19,표준편차를 구하는 방법은요?,NumPy의 std() 함수를 사용하면 됩니다.,np.std(배열),"https://numpy.org/doc/stable/reference/generated/numpy.std.html
"
20,사분위수 범위를 구하는 쉽게 이해가 되는 방법은요?,numpy.percentile() 함수를 사용하면 됩니다.,"np.percentile(배열, [25, 50, 75])","https://numpy.org/doc/stable/reference/generated/numpy.percentile.html
"
21,상관관계를 구하는 법은요?,NumPy의 corrcoef() 함수를 사용하면 됩니다.,"np.corrcoef(배열1, 배열2)","https://numpy.org/doc/stable/reference/generated/numpy.corrcoef.html
"
22,공분산을 구하는 방법은요?,NumPy의 cov() 함수를 사용하면 됩니다.,"np.cov(배열1, 배열2)","https://numpy.org/doc/stable/reference/generated/numpy.cov.html
"
23,데이터 정규화를 하는 방법은요?,sklearn.preprocessing.StandardScaler()를 사용하면 됩니다.,from sklearn.preprocessing import StandardScaler; StandardScaler().fit_transform(배열),"https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.StandardScaler.html
"
24,데이터 분류에 가장 많이 사용되는 알고리즘은 무엇인가요?,"로지스틱 회귀, 의사결정 트리, 지원벡터머신(SVM) 등이 있습니다.",없습니다.,"https://scikit-learn.org/stable/supervised_learning.html
"
25,데이터 셋을 훈련 세트와 테스트 세트로 분할하는 방법은요?,sklearn.model_selection.train_test_split() 함수를 사용하면 됩니다.,"from sklearn.model_selection import train_test_split; train_test_split(배열, 라벨, test_size=0.25)","https://scikit-learn.org/stable/modules/generated/sklearn.model_selection.train_test_split.html
"
26,모델의 성능을 평가하는 방법은요?,"평가 지표로 정확도, 정밀도, 재현율, F1 점수 등을 사용할 수 있습니다.",없습니다.,"https://scikit-learn.org/stable/modules/model_evaluation.html
"
27,"선생님, 데이터 프레임에서 특정 행을 선택하는 방법은요?",loc[] 인덱서를 사용하면 특정 행을 선택할 수 있습니다.,df.loc[행의 인덱스],"https://pandas.pydata.org/docs/user_guide/indexing.html#selection-by-label
"
28,범주형 변수를 더미 변수로 인코딩하는 방법이 뭔가요?,pandas.get_dummies() 함수를 사용하면 범주형 변수를 더미 변수로 인코딩할 수 있습니다.,pd.get_dummies(시리즈 또는 데이터프레임),"https://pandas.pydata.org/docs/user_guide/categorical.html#dummies
"
29,데이터 프레임의 결측값을 처리하는 방법을 가르쳐주세요.,dropna() 메서드는 결측값이 있는 행이나 열을 제거하는 데 사용할 수 있습니다.,df.dropna(),"https://pandas.pydata.org/docs/user_guide/missing_data.html#handling-missing-data
"
30,"선생님, 데이터를 그룹화하고 그룹별 연산을 하는 법을 모르겠어요.",groupby() 메서드를 사용하여 데이터를 그룹화하고 agg() 메서드를 사용하여 그룹별 연산을 수행할 수 있습니다.,df.groupby(['열']).agg({'열': '연산'}),"https://pandas.pydata.org/docs/user_guide/groupby.html
"
31,데이터를 병합하는 방법이 뭔가요?,merge() 메서드를 사용하여 두 개 이상의 데이터 프레임을 병합할 수 있습니다.,"pd.merge(df1, df2, on=['공통 열'])","https://pandas.pydata.org/docs/user_guide/merging.html
"
32,"선생님, 시계열 데이터를 다루는 방법을 가르쳐주세요.",Pandas의 TimeSeries 클래스는 시계열 데이터를 다루는 데 사용할 수 있습니다.,"ts = pd.Series(데이터, 인덱스=날짜/시간)","https://pandas.pydata.org/docs/user_guide/timeseries.html
"
33,데이터 프레임 열을 추가하는 법이 뭔가요?,assign() 메서드를 사용하여 데이터 프레임에 새 열을 추가할 수 있습니다.,df = df.assign(새로운 열 이름=새로운 열 값),"https://pandas.pydata.org/docs/user_guide/indexing.html#returning-a-new-object-with-copy
"
34,"선생님, 데이터를 시각화하는 방법을 모르겠어요.",Matplotlib과 Seaborn 라이브러리는 데이터 시각화에 사용할 수 있습니다.,"import matplotlib.pyplot as plt, seaborn as sns","https://matplotlib.org/, https://seaborn.pydata.org/
"
35,데이터를 저장 및 로드하는 방법을 알려주세요.,to_csv() 및 read_csv() 함수를 사용하여 데이터를 CSV 파일로 저장하고 로드할 수 있습니다.,"df.to_csv('파일 이름.csv'), df = pd.read_csv('파일 이름.csv')","https://pandas.pydata.org/docs/user_guide/io.html
"
36,통계 모듈에서 데이터의 중간값을 구하는 방법은요?,median() 함수를 사용합니다.,statistics.median(리스트),"https://docs.python.org/ko/3/library/statistics.html#statistics.median
"
37,통계 모듈에서 기술통계 관련 정보를 구하는 법은 어떻게 하나요?,describe() 함수를 사용합니다.,statistics.describe(리스트),"https://docs.python.org/ko/3/library/statistics.html#statistics.describe
"
38,데이터 프레임의 값을 통계적으로 요약하는 방법이 궁금해요.,describe() 메서드를 사용합니다.,df.describe(),"https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.describe.html
"
39,특정 열의 데이터를 그룹화해서 요약 통계를 구하는 법은요?,groupby()와 agg() 메서드를 사용합니다.,df.groupby('열명').agg({'컬럼명': '통계 함수'}),"https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.groupby.html
"
40,데이터 프레임의 데이터 타입을 확인하는 방법을 알려주세요.,dtypes 속성을 사용합니다.,df.dtypes,"https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.dtypes.html
"
41,데이터 프레임에서 결측값을 처리하는 방법을 알고 싶어요.,"isnull() 메서드를 사용하여 결측값을 확인하고, fillna() 메서드를 사용하여 결측값 대체합니다.",df.fillna(값),"https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.fillna.html
"
42,데이터 프레임에서 특정 조건에 맞는 행을 필터링하는 방법은요?,query() 메서드를 사용합니다.,df.query('조건문'),"https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.query.html
"
43,데이터 프레임을 특정 열 기준으로 정렬하는 방법을 알고 싶습니다.,sort_values() 메서드를 사용합니다.,df.sort_values('열명'),"https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.sort_values.html
"
44,데이터 프레임에서 특정 열을 기준으로 데이터를 그룹화하는 방법을 알려주세요.,groupby() 메서드를 사용합니다.,df.groupby('열명'),"https://pandas.pydata.org/docs/reference/api/pandas.DataFrame.groupby.html
"
45,통계 계산을 위한 내장 함수가 뭔가요?,평균: mean,np.mean(배열),"https://numpy.org/doc/1.26/reference/generated/numpy.mean.html
"
46,변동계수를 계산해주는 함수가 있어요?,CV: coefficient of variation,np.std(배열) / np.mean(배열) * 100,"https://numpy.org/doc/1.26/reference/generated/numpy.std.html
"
47,불필요한 값 제거가 편리한 함수가 있죠?,NaN 값 제거: nanmean,np.nanmean(배열),"https://numpy.org/doc/1.26/reference/generated/numpy.nanmean.html
"
48,상관 계수 계측을 위한 함수 말씀해주세요.,Pearson 상관 계수: corrcoef,"np.corrcoef(배열1, 배열2)","https://numpy.org/doc/1.26/reference/generated/numpy.corrcoef.html
"
49,특정 값 개수를 세기 위한 함수는요?,count,np.count_nonzero(배열),"https://numpy.org/doc/1.26/reference/generated/numpy.count_nonzero.html
"
50,데이터의 중간값을 구하는 함수는 뭔가요?,median,np.median(배열),"https://numpy.org/doc/1.26/reference/generated/numpy.median.html
"
51,데이터의 사 분위수 구하기 위한 함수가 있죠?,quartile,"np.percentile(배열, 25), np.percentile(배열, 50), np.percentile(배열, 75)","https://numpy.org/doc/1.26/reference/generated/numpy.percentile.html
"
52,확률 분포 관련 연산을 위한 라이브러리 말씀해주세요.,scipy.stats,"scipy.stats.norm.pdf(x, mu, sigma)","https://docs.scipy.org/doc/scipy/reference/stats.html
"
53,선형 회귀 분석을 위한 함수를 알고 계신가요?,scipy.stats.linregress,"scipy.stats.linregress(y, x)","https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.linregress.html
"
54,뭐부터 배워야 할까요?,파이썬의 기본적인 자료 구조와 제어 흐름에서 시작하는 것이 좋습니다.,없음,"https://docs.python.org/3/tutorial/index.html
"
55,어떻게 변수를 선언할까요?,"""="" 연산자를 사용하여 변수를 선언합니다.",변수 = 값,"https://docs.python.org/3/tutorial/introduction.html#variables
"
56,다른 타입의 변수를 어떻게 선언하나요?,타입 주석을 사용하여 다른 타입의 변수를 선언할 수 있습니다.,변수: 타입 = 값,"https://www.python.org/dev/peps/pep-484/
"
57,어떻게 함수를 정의할까요?,def 키워드를 사용하여 함수를 정의합니다.,def 함수명(매개변수):,"https://docs.python.org/3/tutorial/controlflow.html#defining-functions
"
58,반복문을 사용하는 방법은요?,"for, while, range() 함수를 사용하여 반복문을 만듭니다.",for 변수 in 시퀀스:,"https://docs.python.org/3/tutorial/controlflow.html
"
59,조건문을 작성하는 방법은요?,"if, elif, else 문을 사용하여 조건문을 작성합니다.",if 조건:,"https://docs.python.org/3/tutorial/controlflow.html
"
60,어떻게 데이터를 파일에 저장할 수 있나요?,open() 함수를 사용하여 파일을 열고 쓰기 또는 읽기 작업을 수행합니다.,"open(""파일명"", ""열기 모드"")","https://docs.python.org/3/tutorial/inputoutput.html
"
61,모듈은 어떻게 사용하나요?,import 키워드를 사용하여 모듈을 가져옵니다.,import 모듈명,"https://docs.python.org/3/tutorial/modules.html
"
62,패키지와 모듈의 차이점은요?,패키지는 여러 모듈을 포함하는 디렉토리입니다.,없음,"https://docs.python.org/3/tutorial/modules.html#packages
"
63,"선생님, 파이썬에서 통계 데이터를 계산하는 방법을 알고 싶어요.","통계 데이터를 계산하려면 ""statistics"" 모듈을 사용해야 합니다.","import statistics
                statistics.mean(리스트)","https://docs.python.org/3/library/statistics.html
"
64,중앙값을 구하는 방법은 뭔가요?,"중앙값을 구하려면 ""median()"" 함수를 사용합니다.","import statistics
                statistics.median(리스트)","https://docs.python.org/3/library/statistics.html
"
65,표준편차는 어떻게 구하죠?,"표준편차를 구하려면 ""stdev()"" 함수를 사용합니다.","import statistics
                statistics.stdev(리스트)","https://docs.python.org/3/library/statistics.html
"
66,데이터 분산을 계산하는 방법을 알려주세요.,"분산을 계산하려면 ""variance()"" 함수를 사용합니다.","import statistics
                statistics.variance(리스트)","https://docs.python.org/3/library/statistics.html
"
67,데이터 범위는 어떻게 구하나요?,"데이터 범위를 구하려면 ""range()"" 함수를 사용합니다.",max(리스트) - min(리스트),"https://docs.python.org/3/tutorial/datastructures.html
"
68,데이터의 1/4분위 수를 계산하는 방법은?,"1/4분위 수를 계산하려면 ""quantiles()"" 함수를 사용합니다.","import statistics
                statistics.quantiles(리스트, n=4)[1]","https://docs.python.org/3/library/statistics.html
"
69,데이터의 최대값과 최소값을 찾는 방법을 알려주세요.,"데이터의 최대값과 최소값을 찾으려면 ""max()""와 ""min()"" 함수를 사용합니다.","max(리스트)
                  min(리스트)","https://docs.python.org/3/tutorial/datastructures.html
"
70,데이터의 평균 절대 편차를 계산하는 방법은?,"데이터의 평균 절대 편차를 계산하려면 ""median_absolute_deviation()"" 함수를 사용합니다.","import statistics
                statistics.median_absolute_deviation(리스트)","https://docs.python.org/3/library/statistics.html
"
71,데이터의 상관 관계를 확인하는 방법을 알려주세요.,"데이터의 상관 관계를 확인하려면 ""pearsonr()"" 함수를 사용합니다.","from scipy.stats import pearsonr
                pearsonr(리스트1, 리스트2)","https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.pearsonr.html
"
72,제가 만든 데이터 프레임을 CSV 파일로 내보내는 방법을 알려주세요.,데이터 프레임을 CSV 파일로 내보내는 가장 일반적인 방법은 아래와 같습니다.,"dataframe.to_csv('파일명.csv', index=False)","https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_csv.html
"
73,피벗 테이블을 생성하는 방법이 알고 싶습니다.,피벗 테이블을 생성하려면 다음과 같이 하면 됩니다.,"dataframe.pivot_table(indeces=['인덱스 컬럼'], columns=['컬럼 컬럼'], values=['값 컬럼'])","https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.pivot_table.html
"
74,데이터 프레임에 새 컬럼을 추가하려는데요.,DataFrame에 새 컬럼을 추가하려면 다음과 같이 하면 됩니다.,dataframe['새로운 컬럼'] = 새로운 값,"https://pandas.pydata.org/pandas-docs/stable/user_guide/basics.html#basics-columns-add-remove-rename
"
75,데이터 프레임의 데이터 타입을 확인하는 방법은요?,데이터 프레임의 각 컬럼의 데이터 타입을 확인하려면 다음과 같이 하면 됩니다.,dataframe.dtypes,"https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.dtypes.html
"
76,특정 컬럼을 기준으로 데이터를 정렬하는 방법을 알려주세요.,DataFrame을 특정 컬럼을 기준으로 정렬하려면 다음과 같이 하면 됩니다.,"dataframe.sort_values(by='컬럼명', ascending=True/False)","https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.sort_values.html
"
77,원하는 행만 필터링하려면 어떻게 해야 하나요?,원하는 행만 필터링하려면 다음과 같이 하면 됩니다.,dataframe[dataframe['컬럼명'] == 값],"https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html
"
78,데이터 프레임에 그룹화 작업을 하는 방법이 궁금합니다.,데이터 프레임에서 그룹화 작업을 하려면 다음과 같이 하면 됩니다.,dataframe.groupby('컬럼명').agg({'컬럼명': '연산자'}),"https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.groupby.html
"
79,데이터 프레임을 그래프로 시각화하는 방법을 알려주세요.,Jupyter Notebook에서 데이터 프레임을 그래프로 시각화하려면 다음과 같이 하면 됩니다.,dataframe.plot(),"https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.plot.html
"
80,데이터 프레임에서 중복된 행을 제거하는 방법은요?,데이터 프레임에서 중복된 행을 제거하려면 다음과 같이 하면 됩니다.,dataframe.drop_duplicates(subset=['컬럼명']),"https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.drop_duplicates.html
"
81,통계 계산을 위해 가장 많이 사용하는 파이썬 라이브러리는 무엇인가요?,StatisticsPython,import statistics,"https://www.statology.org/statistics-with-python/
"
82,어떤 통계를 사용하여 데이터의 분산을 측정합니까?,분산,statistics.variance(데이터),"https://docs.python.org/3/library/statistics.html#statistics.variance
"
83,데이터에서 중간값을 찾는 가장 간단한 방법은 무엇인가요?,중간값 함수,statistics.median(데이터),"https://docs.python.org/3/library/statistics.html#statistics.median
"
84,"편향된 표본이란 무엇이며, 어떻게 해결할 수 있나요?","편향된 표본은 원본 데이터 집합을 제대로 표현하지 못하는 표본입니다. 무작위 표본을 사용하여 해결할 수 있습니다.

질문: 데이터의 이상치를 찾는 좋은 방법은 무엇인가요?
답변: Z-점수",(x - u) / s,"https://en.wikipedia.org/wiki/Standard_score
"
85,상관 관계에 대해 간단히 설명해 주실 수 있나요?,상관 관계는 두 변수 간의 선형적 관계를 측정합니다.,"statistics.correlation(데이터1, 데이터2)","https://docs.python.org/3/library/statistics.html#statistics.correlation
"
86,데이터의 정규 분포를 확인하는 방법은 무엇인가요?,정규 분포 확인,scipy.stats.normaltest(데이터),"https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.normaltest.html
"
87,제곱근을 계산하는 파이썬 함수는 무엇입니까?,math.sqrt(),math.sqrt(x),"https://docs.python.org/3/library/math.html#math.sqrt
"
88,데이터를 오름차순으로 정렬하는 가장 간단한 방법은 무엇인가요?,sort() 메서드,리스트.sort(),"https://docs.python.org/3/tutorial/datastructures.html#sorting-lists
"
89,제곱근을 구하는 방법을 알려주세요.,파이썬에서는 제곱근을 구하려면 math.sqrt() 함수를 사용합니다.,math.sqrt(수),"https://docs.python.org/3/library/math.html#math.sqrt
"
90,배열에 요소를 추가하는 방법은 무엇입니까?,파이썬 배열에 요소를 추가하려면 append() 메서드를 사용합니다.,배열.append(요소),"https://docs.python.org/3/tutorial/datastructures.html#more-on-lists
"
91,함수의 매개변수를 선언하는 방법을 알려주세요.,함수의 매개변수를 선언하려면 함수 헤더에 이름: 유형 형태로 선언합니다.,"def 함수명(매개변수: 유형, ...):","https://docs.python.org/3/tutorial/controlflow.html#defining-functions
"
92,빈 배열을 만드는 방법은 무엇ですか?,파이썬에서 빈 배열을 만들려면 list() 또는 []를 사용합니다.,배열 = list() 또는 배열 = [],"https://docs.python.org/3/tutorial/datastructures.html#lists
"
93,파일을 여는 방법을 알려주세요.,파이썬에서 파일을 열려면 open() 함수를 사용합니다.,"파일 = open(""파일경로"", ""모드"")","https://docs.python.org/3/tutorial/inputoutput.html#reading-and-writing-files
"
94,문자열에 대문자를 변경하는 방법은 무엇ですか?,파이썬 문자열에 대문자를 변경하려면 upper() 메서드를 사용합니다.,문자열.upper(),"https://docs.python.org/3/library/stdtypes.html#str.upper
"
95,딕셔너리의 키 목록을 얻는 방법은 무엇입니까?,파이썬 딕셔너리의 키 목록을 얻으려면 keys() 메서드를 사용합니다.,딕셔너리.keys(),"https://docs.python.org/3/library/stdtypes.html#dict.keys
"
96,함수에서 값을 반환하는 방법을 알려주세요.,파이썬 함수에서 값을 반환하려면 return 문을 사용합니다.,def 함수명(): \n return 값,"https://docs.python.org/3/tutorial/controlflow.html#defining-functions
"
97,True와 False를 출력하는 방법은 무엇ですか?,파이썬에서 True와 False를 출력하려면 bool() 함수를 사용합니다.,bool(값),"https://docs.python.org/3/library/functions.html#bool
"
98,"선생님, 파이썬에서 가설 검정을 하는 방법을 모르겠어요.",파이썬에서 가설 검정을 하려면 scipy.stats 모듈을 사용할 수 있습니다.,"scipy.stats.ttest_ind(x, y, equal_var=False)","https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_ind.html
"
99,"선생님, 유의 수준이란 무슨 뜻인가요?",유의 수준은 통계적 가설 검정에서 허위 귀무 가설을 기각하기 위해 설정한 확률 임계값입니다.,"scipy.stats.ttest_ind(x, y, equal_var=False, alpha=0.05)","https://en.wikipedia.org/wiki/Statistical_hypothesis_testing
"
100,귀무 가설이란 무슨 말입니까?,귀무 가설은 가설 검정에서 검증하려는 명제입니다.,"scipy.stats.ttest_ind(x, y, equal_var=False)","https://en.wikipedia.org/wiki/Null_hypothesis
"
101,p 값이란 무슨 뜻인가요?,p 값은 가설 검정에서 관찰된 결과가 우연히 발생할 확률입니다.,"scipy.stats.ttest_ind(x, y, equal_var=False).pvalue","https://en.wikipedia.org/wiki/P-value
"
102,t 검정과 F 검정의 차이점은 무엇입니까?,"t 검정은 두 그룹의 평균을 비교하는 데 사용되고, F 검정은 두 그룹의 분산을 비교하는 데 사용됩니다.","scipy.stats.ttest_ind(x, y, equal_var=True), scipy.stats.f_oneway(x, y)","https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_ind.html, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.f_oneway.html
"
103,카이 제곱 검정은 어떻게 사용합니까?,카이 제곱 검정은 카테고리형 데이터의 분포를 테스트하는 데 사용됩니다.,scipy.stats.chi2_contingency(관찰된 카운트),"https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.chi2_contingency.html
"
104,단면적 데이터와 종단적 데이터의 차이점은 무엇입니까?,"단면적 데이터는 한 시점에서 수집된 데이터이고, 종단적 데이터는 시간 경과에 걸쳐 수집된 데이터입니다.",,"N/A
"
105,상관 분석과 회귀 분석의 차이점은 무엇입니까?,"상관 분석은 변수 간의 선형 관계를 측정하고, 회귀 분석은 종속 변수와 독립 변수 간의 관계를 예측하는 데 사용됩니다.","scipy.stats.pearsonr(x, y), scipy.stats.linregress(x, y)","https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.pearsonr.html, https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.linregress.html
"
106,클러스터 분석은 어떻게 사용합니까?,클러스터 분석은 데이터를 유사한 그룹으로 분류하는 데 사용됩니다.,sklearn.cluster.KMeans(),"https://scikit-learn.org/stable/modules/clustering.html
"
107,가설 검정을 할 수 있는 파이썬 라이브러리는 뭔가요?,가설 검정을 수행하는데 유용한 파이썬 라이브러리는 scipy.stats입니다.,"scipy.stats.ttest_rel(그룹1, 그룹2)","https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
"
108,파이썬에서 가설 검정의 귀무 가설이 뭐죠?,귀무 가설은 검정하려는 주장입니다. 일반적으로 이는 두 그룹 간에 차이가 없다는 것입니다.,귀무 가설: 두 그룹 간에 평균 차이가 0입니다.,"https://en.wikipedia.org/wiki/Null_hypothesis
"
109,통계적 유의 수준은 어떻게 설정하나요?,유의 수준은 통계적으로 유의하지 않은 결과를 얻을 확률입니다. 일반적으로 0.05 또는 0.01로 설정됩니다.,유의 수준: 0.05,"https://en.wikipedia.org/wiki/Statistical_significance
"
110,파이썬에서 p-값을 계산하는 방법은 무엇인가요?,p-값은 관찰된 데이터가 귀무 가설을 기각하기에 충분히 극단적인지 여부를 나타내는 확률입니다.,"scipy.stats.ttest_rel(그룹1, 그룹2).pvalue","https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
"
111,귀무 가설을 기각하는 기준이 뭐에요?,귀무 가설은 p-값이 유의 수준보다 작은 경우 기각됩니다.,p-값이 0.05보다 작으면 귀무 가설 기각됨.,"https://en.wikipedia.org/wiki/Null_hypothesis
"
112,파이썬에서 단측 검정과 양측 검정의 차이점은 무엇인가요?,"단측 검정은 한 방향으로 가설을 검정하는 반면, 양측 검정은 두 방향으로 가설을 검정합니다.","단측 검정: scipy.stats.ttest_rel(그룹1, 그룹2, alternative=""less""). 양측 검정: scipy.stats.ttest_rel(그룹1, 그룹2, alternative=""two-sided"")","https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_rel.html
"
113,파이썬에서 상관 계수를 계산하는 방법은 뭔가요?,상관 계수는 두 변수 간의 선형적 관계의 강도를 나타내는 통계량입니다.,"scipy.stats.pearsonr(변수1, 변수2)","https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.pearsonr.html
"
114,가설 검정에서 유형 1 오류와 유형 2 오류는 무엇인가요?,유형 1 오류는 귀무 가설이 참인데도 기각하는 오류입니다. 유형 2 오류는 귀무 가설이 거짓인데도 기각하지 않는 오류입니다.,유형 1 오류: 유의 수준이 너무 낮게 설정되어 귀무 가설이 거짓인데도 기각됨. 유형 2 오류: 유의 수준이 너무 높게 설정되어 귀무 가설이 참인데도 기각하지 않음.,"https://en.wikipedia.org/wiki/Type_I_and_type_II_errors
"
115,로지스틱 회귀 모델은 무엇인가요?,로지스틱 회귀 모델은 독립 변수가 종속 변수를 성공과 실패의 범주로 이항 분류하는 데 사용되는 통계적 모델입니다.,sklearn.linear_model.LogisticRegression(),"https://scikit-learn.org/stable/modules/generated/sklearn.linear_model.LogisticRegression.html
"
116,가설 검정이 뭔가요?,가설 검정은 주어진 데이터가 특정 가설을 지지하는지 평가하는 통계적 방법입니다.,없음,"https://docs.scipy.org/doc/scipy/reference/stats.html
"
117,가설 검정에서 귀무 가설과 대립 가설의 차이점이 뭐예요?,"귀무 가설은 검정하고자 하는 주장이며, 대립 가설은 귀무 가설에 대한 반대 주장입니다.",없음,"https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.ttest_ind.html
"
118,t-검정은 무엇을 위해 사용되나요?,t-검정은 두 개의 독립된 집단의 평균이 서로 다른지 평가하는 데 사용되는 통계적 검정입니다.,없음,"https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.f_oneway.html
"
